NOC,StartYear,EndYear,Country,GwCodes,Status,Reason
MAD,1964,1984,Madagascar,580,mapped,
MAL,1956,1960,Malaya,820,mapped,
MAR,1960,1988,Morocco,600,mapped,
MAS,1964,1988,Malaysia,820,mapped,
MAW,1972,1988,Malawi,553,mapped,
MDV,1988,1988,Maldives,781,mapped,
MEX,1952,1988,Mexico,70,mapped,
MGL,1964,1988,Mongolia,712,mapped,
MLI,1964,1988,Mali,432,mapped,
MLT,1960,1988,Malta,338,mapped,
MON,1952,1988,Monaco,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.
MOZ,1980,1988,Mozambique,541,mapped,
MRI,1984,1988,Mauritius,590,mapped,
MTN,1984,1988,Mauritania,435,mapped,
MYA,1952,1988,Myanmar,775,mapped,
NBO,1956,1956,North Borneo,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
NCA,1968,1984,Nicaragua,93,mapped,
NED,1952,1988,Netherlands,210,mapped,
NEP,1964,1988,Nepal,790,mapped,
NGR,1952,1988,Nigeria,475,mapped,
NIG,1964,1988,Niger,436,mapped,
NOR,1952,1988,Norway,385,mapped,
NZL,1952,1988,New Zealand,920,mapped,
OMA,1984,1988,Oman,698,mapped,
PAK,1952,1988,Pakistan,770,mapped,
PAN,1952,1988,Panama,95,mapped,
PAR,1968,1988,Paraguay,150,mapped,
PER,1956,1988,Peru,135,mapped,
PHI,1952,1988,Philippines,840,mapped,
PNG,1976,1988,Papua New Guinea,910,mapped,
POL,1952,1988,Poland,290,mapped,
POR,1952,1988,Portugal,235,mapped,
PRK,1972,1980,North Korea,731,mapped,
PUR,1952,1988,Puerto Rico,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
QAT,1984,1988,Qatar,694,mapped,
RHO,1960,1960,Rhodesia,,excluded_no_cshapes_geometry,The 1960 Rhodesian Olympic delegation has no corresponding sovereign geometry in the adopted CShapes snapshot.
ROU,1952,1988,Romania,360,mapped,
RSA,1952,1960,South Africa,560,mapped,
RWA,1984,1988,Rwanda,517,mapped,
SAA,1952,1952,Saar,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
SAM,1984,1988,Samoa,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.
SEN,1964,1988,Senegal,433,mapped,
SEY,1980,1984,Seychelles,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.
SGP,1952,1988,Singapore,830,mapped,
SLE,1968,1988,Sierra Leone,451,mapped,
SMR,1960,1988,San Marino,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.
SOL,1984,1988,Solomon Islands,940,mapped,
SOM,1972,1988,Somalia,520,mapped,
SRI,1952,1988,Sri Lanka,780,mapped,
SUD,1960,1988,Sudan,625,mapped,
SUI,1952,1988,Switzerland,225,mapped,
SUR,1968,1988,Suriname,115,mapped,
SWE,1952,1988,Sweden,380,mapped,
SWZ,1972,1988,Swaziland,572,mapped,
SYR,1968,1988,Syria,652,mapped,
TAN,1964,1988,Tanzania,510,mapped,
TCH,1952,1988,Czechoslovakia,315,mapped,
TGA,1984,1988,Tonga,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.
THA,1952,1988,Thailand,800,mapped,
TOG,1972,1988,Togo,461,mapped,
TPE,1956,1988,Chinese Taipei,713,mapped,
TTO,1952,1988,Trinidad and Tobago,52,mapped,
TUN,1960,1988,Tunisia,616,mapped,
TUR,1952,1988,Turkey,640,mapped,
UAE,1984,1988,United Arab Emirates,696,mapped,
UAR,1960,1960,United Arab Republic,651;652,mapped,
UGA,1956,1988,Uganda,500,mapped,
URS,1952,1988,Soviet Union,365,mapped,
URU,1952,1988,Uruguay,165,mapped,
USA,1952,1988,United States,2,mapped,
VAN,1988,1988,Vanuatu,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.
VEN,1952,1988,Venezuela,101,mapped,
VIE,1980,1988,Vietnam,816,mapped,
VIN,1988,1988,Saint Vincent and the Grenadines,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.
VNM,1952,1952,South Vietnam,,excluded_no_cshapes_geometry,South Vietnam has no corresponding sovereign CShapes/Gleditsch-Ward geometry in the 1952 snapshot.
VNM,1956,1972,South Vietnam,817,mapped,
WIF,1960,1960,West Indies Federation,,excluded_composite_delegation,Composite Olympic delegation is not represented as a single sovereign CShapes state.
YAR,1984,1988,North Yemen,678,mapped,
YMD,1988,1988,South Yemen,680,mapped,
YUG,1952,1988,Yugoslavia,345,mapped,
ZAM,1964,1988,Zambia,551,mapped,
ZIM,1960,1960,Rhodesia,,excluded_no_cshapes_geometry,The 1960 Rhodesian/Zimbabwe entry has no corresponding sovereign geometry in the adopted CShapes snapshot.
ZIM,1964,1964,Rhodesia,552,mapped,
ZIM,1980,1988,Zimbabwe,552,mapped,
